iter	Logloss
0	0.6618127593
1	0.6326616517
2	0.606869559
3	0.5842011739
4	0.5601954233
5	0.5376796601
6	0.5171557491
7	0.4977149838
8	0.4804788734
9	0.4634107931
10	0.4482647799
11	0.4344521374
12	0.4220235337
13	0.4096384299
14	0.3973785895
15	0.3859677263
16	0.3760399831
17	0.36598748
18	0.3570257536
19	0.3480496939
20	0.3397179097
21	0.3318125648
22	0.3251372511
23	0.318218883
24	0.3122947105
25	0.3063529857
26	0.3012099437
27	0.295914005
28	0.290951683
29	0.2870595168
30	0.2827476894
31	0.2793862983
32	0.2755511577
33	0.2716225784
34	0.2685598517
35	0.2652963367
36	0.2621587438
37	0.2592113738
38	0.2563543713
39	0.2537622008
40	0.2515945043
41	0.2493890958
42	0.2475118022
43	0.2457358574
44	0.2441133271
45	0.2423295164
46	0.2405270616
47	0.2388463418
48	0.2373637309
49	0.2359481753
50	0.2347769284
51	0.2332811741
52	0.232096479
53	0.230938521
54	0.2298055158
55	0.2287138776
56	0.2276194436
57	0.2266363082
58	0.2257724445
59	0.2249127796
60	0.2241354818
61	0.2233867966
62	0.2225865761
63	0.2218942817
64	0.2210822213
65	0.2205273494
66	0.2199009964
67	0.2193379737
68	0.2188149144
69	0.2183000453
70	0.2179109854
71	0.2174059596
72	0.2169755155
73	0.2166019437
74	0.2161378737
75	0.2159199598
76	0.2155264761
77	0.2152723669
78	0.2148712821
79	0.2145147757
80	0.2142585638
81	0.2139776931
82	0.2136299074
83	0.2133652195
84	0.2130567702
85	0.2127783738
86	0.2125676853
87	0.2121806276
88	0.2118974723
89	0.2116539928
90	0.2114255013
91	0.2111649264
92	0.2109568677
93	0.2107866509
94	0.2105461371
95	0.2102668857
96	0.2101276361
97	0.2099263601
98	0.2097678493
99	0.2095478336
100	0.209404058
101	0.2092010613
102	0.2089596206
103	0.2087298137
104	0.2085642104
105	0.2084273454
106	0.2082873591
107	0.2080652193
108	0.2079284193
109	0.207791514
110	0.2077475617
111	0.2075872827
112	0.2073510351
113	0.2072195665
114	0.2070576251
115	0.2069354201
116	0.2067611262
117	0.206676314
118	0.2065066053
119	0.2063600827
