Año;Autoridad Portuaria;Operacion;Transito;Graneles líquidos;Graneles sólidos;Mercancía general convencional;Mercancía general en contenedor;Mercancía general;Pesca;Avituallamiento;Tráfico interior;TRÁFICO TOTAL;;;
1962;Tarragona;Desembarque;Incluido tránsito;401.195;507.301;182.582;0;182.582;2.946;0;0;1.094.024;;;
1962;Tarragona;Embarque;Incluido tránsito;7.677;36.316;124.815;0;124.815;0;36.701;0;205.509;;;
1962;Valencia;Desembarque;Incluido tránsito;598.967;791.591;327.417;0;327.417;1.040;0;0;1.719.015;;;
1962;Valencia;Embarque;Incluido tránsito;18.646;120.204;556.354;0;556.354;0;62.035;0;757.239;;;
1962;Vigo;Desembarque;Incluido tránsito;281.489;80.241;191.780;0;191.780;85.722;0;16.892;656.124;;;
1962;Vigo;Embarque;Incluido tránsito;1.826;365.510;64.854;0;64.854;0;366.465;14.057;812.712;;;
1962;Vilagarcía;Desembarque;Incluido tránsito;0;25.595;30.863;0;30.863;25;0;13.925;70.408;;;
1962;Vilagarcía;Embarque;Incluido tránsito;0;1.999;103.209;0;103.209;0;0;8.899;114.107;;;
1963;A Coruña;Desembarque;Incluido tránsito;207.576;165.111;125.790;0;125.790;74.091;0;3.485;576.053;;;
1963;A Coruña;Embarque;Incluido tránsito;7.328;351.476;36.950;0;36.950;0;319.120;113;714.987;;;
1963;Alicante;Desembarque;Incluido tránsito;143.438;463.509;293.195;0;293.195;9.368;0;0;909.510;;;
1963;Alicante;Embarque;Incluido tránsito;0;74.694;191.164;0;191.164;0;42.705;0;308.563;;;
1963;Almería;Desembarque;Incluido tránsito;154.720;139.036;57.786;0;57.786;8.456;0;0;359.998;;;
1963;Almería;Embarque;Incluido tránsito;0;637.194;37.131;0;37.131;0;6.828;0;681.153;;;
1963;Avilés;Desembarque;Incluido tránsito;4.461;1.671.335;181.482;0;181.482;8.067;0;0;1.865.345;;;
1963;Avilés;Embarque;Incluido tránsito;0;899.813;537.543;0;537.543;0;66.294;238;1.503.888;;;
1963;Bahía de Algeciras;Desembarque;Incluido tránsito;9.565;4.317;52.192;0;52.192;46.437;0;0;112.511;;;
1963;Bahía de Algeciras;Embarque;Incluido tránsito;0;0;59.514;0;59.514;0;69.451;0;128.965;;;
1963;Bahía de Cádiz;Desembarque;Incluido tránsito;0;96.248;152.869;0;152.869;42.324;0;0;291.441;;;
