iter	Passed	Remaining
399	34257	51385
400	34328	51278
401	34397	51168
402	34463	51053
403	34534	50947
404	34606	50841
405	34670	50725
406	34737	50612
407	34804	50501
408	34869	50386
409	34931	50266
410	35009	50171
411	35079	50064
412	35144	49950
413	35208	49836
414	35273	49723
415	35337	49608
416	35402	49496
417	35466	49381
418	35533	49272
419	35595	49155
420	35661	49045
421	35724	48931
422	35788	48817
423	35852	48704
424	35918	48595
425	35981	48482
426	36043	48367
427	36106	48253
428	36166	48138
429	36229	48025
430	36291	47911
431	36353	47798
432	36415	47684
433	36476	47571
434	36540	47460
435	36605	47351
436	36685	47263
437	36747	47150
438	36811	47041
439	36879	46937
440	36945	46831
441	37012	46725
442	37078	46620
443	37141	46510
444	37203	46400
445	37265	46289
446	37327	46179
447	37388	46068
448	37451	45958
449	37519	45857
450	37580	45747
451	37644	45639
452	37706	45530
453	37772	45426
454	37837	45321
455	37899	45213
456	37962	45106
457	38023	44997
458	38089	44894
459	38150	44785
460	38214	44680
461	38276	44572
462	38337	44465
463	38401	44360
464	38463	44254
465	38530	44152
466	38593	44047
467	38651	43937
468	38716	43834
469	38781	43732
470	38843	43627
471	38906	43522
472	38970	43419
473	39036	43319
474	39097	43212
475	39157	43106
476	39221	43004
477	39283	42899
478	39346	42796
479	39413	42697
480	39479	42598
481	39546	42500
482	39608	42396
483	39672	42295
484	39739	42197
485	39804	42097
486	39869	41998
487	39931	41895
488	39999	41799
489	40065	41700
490	40129	41601
491	40193	41500
492	40256	41399
493	40322	41302
494	40387	41203
495	40450	41102
496	40513	41002
497	40577	40903
498	40652	40815
499	40712	40712
500	40777	40614
501	40841	40516
502	40903	40415
503	40969	40318
504	41031	40219
505	41091	40116
506	41158	40022
507	41221	39923
508	41285	39825
509	41352	39730
510	41414	39631
511	41476	39532
512	41536	39431
513	41602	39336
514	41669	39242
515	41732	39144
516	41808	39059
517	41872	38962
518	41937	38866
519	42008	38777
520	42073	38681
521	42138	38587
522	42208	38495
523	42278	38405
524	42350	38317
525	42416	38223
526	42482	38129
527	42548	38036
528	42612	37940
529	42677	37846
530	42741	37750
531	42804	37655
532	42868	37560
533	42932	37465
534	42996	37371
535	43064	37279
536	43125	37182
537	43190	37088
538	43251	36992
539	43316	36899
540	43381	36805
541	43443	36710
542	43511	36620
543	43575	36526
544	43644	36437
545	43710	36345
546	43773	36251
547	43840	36160
548	43907	36069
549	43971	35976
550	44036	35884
551	44101	35792
552	44162	35697
553	44225	35604
554	44293	35514
555	44356	35421
556	44420	35328
557	44486	35238
558	44549	35145
559	44613	35053
560	44678	34962
561	44744	34871
562	44812	34783
563	44879	34694
564	44943	34602
565	45011	34514
566	45075	34422
567	45140	34331
568	45203	34240
569	45267	34148
570	45335	34060
571	45396	33968
572	45462	33879
573	45530	33790
574	45599	33703
575	45662	33612
576	45723	33520
577	45789	33431
578	45852	33340
579	45918	33251
580	45985	33163
581	46048	33072
582	46125	32992
583	46189	32902
584	46271	32825
585	46345	32742
586	46414	32656
587	46485	32571
588	46556	32486
589	46624	32399
590	46684	32308
591	46750	32219
592	46816	32131
593	46882	32043
594	46947	31955
595	47018	31871
596	47086	31785
597	47148	31695
598	47215	31608
599	47279	31519
600	47341	31429
601	47402	31339
602	47470	31253
603	47532	31163
604	47601	31078
605	47664	30989
606	47726	30900
607	47794	30814
608	47857	30726
609	47922	30638
610	47984	30550
611	48049	30462
612	48116	30376
613	48181	30290
614	48242	30200
615	48307	30113
616	48372	30027
617	48436	29939
618	48499	29851
619	48578	29774
620	48645	29688
621	48710	29602
622	48771	29513
623	48831	29423
624	48895	29337
625	48957	29249
626	49021	29162
627	49082	29074
628	49146	28988
629	49216	28904
630	49284	28821
631	49346	28733
632	49412	28648
633	49472	28559
634	49548	28480
635	49614	28395
636	49677	28308
637	49740	28222
638	49803	28136
639	49867	28050
640	49936	27967
641	49999	27881
642	50063	27795
643	50125	27709
644	50189	27623
645	50254	27538
646	50317	27452
647	50383	27368
648	50453	27286
649	50519	27202
650	50584	27118
651	50648	27033
652	50710	26947
653	50773	26862
654	50839	26778
655	50905	26694
656	50970	26610
657	51036	26526
658	51103	26443
659	51167	26359
660	51231	26274
661	51298	26191
662	51361	26106
663	51423	26021
664	51486	25936
665	51552	25853
666	51615	25768
667	51684	25687
668	51747	25603
669	51812	25519
670	51874	25434
671	51939	25351
672	52005	25268
673	52067	25184
674	52130	25099
675	52192	25015
676	52255	24931
677	52319	24847
678	52382	24763
679	52444	24679
680	52508	24596
681	52570	24512
682	52632	24428
683	52695	24344
684	52759	24261
685	52824	24179
686	52891	24097
687	52952	24013
688	53017	23930
689	53087	23850
690	53150	23767
691	53216	23686
692	53281	23603
693	53342	23519
694	53403	23436
695	53469	23354
696	53528	23270
697	53593	23187
698	53657	23105
699	53718	23022
700	53780	22939
701	53846	22857
702	53910	22775
703	53974	22693
704	54040	22612
705	54112	22534
706	54177	22452
707	54242	22371
708	54304	22288
709	54366	22206
710	54431	22124
711	54495	22043
712	54559	21961
713	54623	21880
714	54688	21799
715	54751	21716
716	54818	21636
717	54880	21554
718	54948	21474
719	55016	21395
720	55080	21314
721	55143	21232
722	55208	21151
723	55275	21071
724	55336	20989
725	55402	20909
726	55467	20828
727	55533	20748
728	55599	20668
729	55663	20587
730	55726	20506
731	55791	20426
732	55856	20346
733	55920	20265
734	55985	20185
735	56046	20103
736	56115	20025
737	56178	19944
738	56244	19864
739	56308	19784
740	56373	19704
741	56448	19627
742	56514	19548
743	56584	19470
744	56648	19389
745	56735	19317
746	56810	19240
747	56879	19162
748	56954	19086
749	57030	19010
750	57104	18933
751	57184	18858
752	57269	18785
753	57352	18711
754	57434	18637
755	57522	18565
756	57612	18493
757	57707	18423
758	57798	18352
759	57899	18284
760	57987	18211
761	58073	18138
762	58169	18068
763	58262	17997
764	58354	17925
765	58444	17853
766	58541	17783
767	58641	17714
768	58748	17647
769	58846	17577
770	58938	17505
771	59038	17436
772	59136	17366
773	59239	17297
774	59342	17228
775	59449	17160
776	59559	17093
777	59669	17026
778	59776	16958
779	59881	16889
780	59987	16821
781	60101	16754
782	60214	16687
783	60328	16621
784	60446	16555
785	60572	16491
786	60685	16424
787	60794	16356
788	60905	16287
789	61017	16219
790	61123	16150
791	61234	16081
792	61347	16013
793	61464	15946
794	61572	15877
795	61680	15807
796	61798	15740
797	61907	15670
798	62011	15599
799	62117	15529
800	62229	15460
801	62343	15391
802	62453	15321
803	62560	15251
804	62675	15182
805	62789	15112
806	62896	15042
807	63006	14971
808	63114	14900
809	63224	14830
810	63335	14760
811	63446	14689
812	63558	14619
813	63666	14547
814	63775	14476
815	63886	14405
816	63997	14334
817	64102	14262
818	64207	14190
819	64309	14116
820	64408	14042
821	64515	13970
822	64619	13897
823	64725	13824
824	64835	13753
825	64939	13679
826	65044	13606
827	65144	13532
828	65246	13458
829	65346	13384
830	65449	13310
831	65547	13235
832	65649	13161
833	65751	13087
834	65858	13013
835	65960	12939
836	66063	12865
837	66164	12790
838	66266	12716
839	66371	12642
840	66479	12568
841	66586	12494
842	66695	12421
843	66806	12348
844	66914	12274
845	67010	12198
846	67101	12121
847	67190	12043
848	67269	11964
849	67342	11884
850	67409	11802
851	67477	11721
852	67543	11640
853	67611	11558
854	67680	11478
855	67772	11400
856	67849	11321
857	67929	11242
858	68006	11162
859	68088	11084
860	68170	11005
861	68249	10926
862	68329	10847
863	68410	10768
864	68489	10689
865	68570	10610
866	68649	10530
867	68726	10451
868	68804	10372
869	68886	10293
870	68971	10215
