iter	Logloss
0	0.6863277783
1	0.6799810547
2	0.673205432
3	0.6671471638
4	0.6617659256
5	0.6564261547
6	0.6515390877
7	0.646930542
8	0.6427961716
9	0.6387444108
10	0.6351591866
11	0.6316648662
12	0.628888594
13	0.6255947567
14	0.6224179463
15	0.6198345682
16	0.6170336714
17	0.6151613793
18	0.6126068208
19	0.6105950023
20	0.6086358866
21	0.6064634011
22	0.6044729928
23	0.6024978505
24	0.6008149973
25	0.598951741
26	0.5973257681
27	0.5959190799
28	0.5943341309
29	0.5929230472
30	0.5915357644
31	0.5905544416
32	0.5897071546
33	0.5887379693
34	0.5876626045
35	0.5868598196
36	0.5857772061
37	0.5850152635
38	0.5842274082
39	0.583344328
40	0.5825644649
41	0.5819714836
42	0.5809742585
43	0.5802948071
44	0.5796389006
45	0.5788863396
46	0.5780824042
47	0.5775920075
48	0.5768483008
49	0.5759320914
50	0.5753686674
51	0.5749446646
52	0.5743064721
53	0.5736802356
54	0.5730773108
55	0.5724992171
56	0.5718240007
57	0.571274394
58	0.5708666203
59	0.5703499382
60	0.5699359267
61	0.5694788999
62	0.5688921794
63	0.5685824915
64	0.5684024573
65	0.5680620426
66	0.5676158939
67	0.5670599881
68	0.5665358527
69	0.5662626862
70	0.5659029827
71	0.565488631
72	0.5652309617
73	0.5647820361
74	0.5643207036
75	0.5639646694
76	0.5636671343
77	0.5633765175
78	0.5628971804
79	0.5626161
80	0.5623418709
81	0.5618906844
82	0.5618041589
83	0.5615536601
84	0.561269822
85	0.5608788699
86	0.560551145
87	0.5600649814
88	0.5597714884
89	0.5595135419
90	0.5592882335
91	0.5589539401
92	0.5585932811
93	0.5582078311
94	0.5579737411
95	0.5576421538
96	0.5574673732
97	0.5572530192
98	0.5570465811
99	0.5568900344
100	0.5566545894
101	0.5564983312
102	0.5561723206
103	0.5559329655
104	0.5557281078
105	0.5555444386
106	0.5553112583
107	0.5549758851
108	0.5547851926
109	0.5546272241
110	0.554520456
111	0.5544272263
112	0.5542569254
113	0.5540975521
114	0.5539705894
115	0.5537017821
116	0.5534030163
117	0.5532042417
118	0.5529979507
119	0.5527846689
120	0.552529849
121	0.5523596646
122	0.5521397359
123	0.5520010409
124	0.5517630713
125	0.551562334
126	0.5515194525
127	0.5513604424
128	0.5512127651
129	0.5509839307
130	0.5508023465
131	0.5505225465
132	0.5503039786
133	0.5500728393
134	0.5500565547
135	0.549631067
136	0.5494626943
137	0.5493230285
138	0.5492211472
139	0.549146287
140	0.5488937701
141	0.5487240157
142	0.5484943499
143	0.5483752266
144	0.5481627321
145	0.5479677529
146	0.5478454056
147	0.5474643263
148	0.547376012
149	0.5472178198
150	0.5470062159
151	0.5468079783
152	0.5466135725
153	0.5463996504
154	0.5463766082
155	0.546309983
156	0.5462042929
157	0.5461867393
158	0.5460091341
159	0.5459075681
160	0.5456959126
