url,titulo,precio_contado,precio_financiado,año,kilometros,caballos,tipo_cambio,combustible,traccion,velocidad_maxima,largo,ancho,alto,peso,deposito
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-seat-ibiza-ibiza-1-0-ecotsi-s-and-s-fr-110-110-compacto-manual-2016-128752,"SEAT Ibiza
        1.0 EcoTSI S&S FR 110",12790,12190.0,2016,92.748 km,110 CV,Manual,Gasolina,Delantera,197km/h,"4,08m","1,69m","1,44m",1.109kg,45l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-ford-kuga-kuga-1-5-ecoboost-st-line-fwd-150-150-suv-y-4x4-manual-2022-127806,"Ford Kuga
        1.5 EcoBoost ST-Line FWD 150",18290,16590.0,2022,86.651 km,150 CV,Manual,Gasolina,Delantera,195km/h,"4,61m","1,88m","1,68m",1.493kg,60l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-dacia-duster-duster-1-5blue-dci-serie-limitada-aniversario-4x2-85kw-115-suv-y-4x4-manual-2021-128559,"Dacia Duster
        1.5Blue dCi Serie Limitada Aniversario 4x2",15990,14590.0,2021,71.136 km,115 CV,Manual,Diésel,Delantera,179km/h,"4,34m","1,80m","1,69m",1.320kg,50l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-ford-focus-focus-1-0-ecoboost-st-line-125-124-compacto-manual-2019-128456,"Ford Focus
        1.0 Ecoboost ST Line 125",14990,14290.0,2019,89.952 km,124 CV,Manual,Gasolina,Delantera,-km/h,"4,38m","1,83m","1,45m",1.201kg,52l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q5-q5-sportback-40-tdi-quattro-ultra-s-line-s-tronic-150kw-204-suv-y-4x4-automatico-2022-129222,"Audi Q5
        Sportback 40 TDI quattro-ultra S line S tronic",37990,36190.0,2022,78.521 km,204 CV,Automático,Mild hybrid,4x4,222km/h,"4,69m","1,89m","1,66m",1.900kg,65l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-mercedes-clase-gla-gla-180-7g-dct-136-suv-y-4x4-automatico-2021-129043,"Mercedes Clase GLA
        GLA 180 7G-DCT",29990,28590.0,2021,72.535 km,136 CV,Automático,Gasolina,Delantera,200km/h,"4,41m","1,83m","1,61m",1.500kg,43l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-peugeot-208-208-1-2-s-and-s-allure-pack-eat8-100-100-compacto-automatico-2021-129836,"Peugeot 208
        1.2 S&S Allure Pack EAT8 100",13990,12690.0,2021,39.431 km,100 CV,Automático,Gasolina,Delantera,188km/h,"4,06m","1,75m","1,43m",,44l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-x2-x2-sdrive-16da-116-suv-y-4x4-automatico-2020-130189,"BMW X2
        sDrive 16dA",18990,17290.0,2020,117.028 km,116 CV,Automático,Diésel,Delantera,192km/h,"4,36m","1,82m","1,53m",1.495kg,51l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-peugeot-2008-2008-1-5bluehdi-s-and-s-active-pack-110-110-suv-y-4x4-manual-2021-129981,"Peugeot 2008
        1.5BlueHDi S&S Active Pack 110",12990,11790.0,2021,124.592 km,110 CV,Manual,Diésel,Delantera,185km/h,"4,30m","1,77m","1,53m",1.205kg,41l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-seat-leon-leon-1-6tdi-cr-s-and-s-style-dsg7-105-105-compacto-automatico-2014-130136,"SEAT León
        1.6TDI CR S&S Style DSG7 105",12290,11690.0,2014,132.430 km,105 CV,Automático,Diésel,Delantera,190km/h,"4,26m","1,82m","1,46m",1.301kg,50l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-dacia-sandero-sandero-0-9-tce-stepway-comfort-66kw-90-compacto-manual-2018-130461,"Dacia Sandero
        0.9 TCE Stepway Comfort",10490,9990.0,2018,77.029 km,90 CV,Manual,Gasolina,Delantera,168km/h,"4,09m","1,76m","1,56m",1.040kg,50l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-t-cross-t-cross-1-0-tsi-advance-81kw-110-suv-y-4x4-manual-2021-130596,"Volkswagen T-Cross
        1.0 TSI Advance",16990,15490.0,2021,33.584 km,110 CV,Manual,Gasolina,Delantera,189km/h,"4,11m","1,78m","1,56m",1.277kg,40l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-dacia-sandero-sandero-stepway-eco-g-essential-74kw-100-compacto-manual-2025-130436,"Dacia Sandero
        Stepway ECO-G Essential",16490,14990.0,2025,12.048 km,100 CV,Manual,Glp,Delantera,177km/h,"4,10m","1,85m","1,54m",1.107kg,50l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-citroen-c5-aircross-c5-aircross-puretech-s-and-s-feel-130-130-suv-y-4x4-manual-2020-129963,"Citroen C5 Aircross
        PureTech S&S Feel 130",13990,12690.0,2020,73.821 km,130 CV,Manual,Gasolina,Delantera,195km/h,"4,50m","1,97m","1,65m",1.479kg,53l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-peugeot-208-208-1-2-s-and-s-allure-100-100-compacto-manual-2025-129692,"Peugeot 208
        1.2 S&S Allure 100",15290,13890.0,2025,21.894 km,100 CV,Manual,Gasolina,Delantera,194km/h,"4,06m","1,75m","1,43m",1.090kg,40l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-opel-mokka-mokka-1-2t-s-and-s-gs-136-136-suv-y-4x4-manual-2025-128025,"Opel Mokka
        1.2T S&S GS 136",16790,15290.0,2025,20.517 km,136 CV,Manual,Gasolina,Delantera,208km/h,"4,15m","1,79m","1,54m",1.294kg,44l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-opel-mokka-mokka-1-2t-s-and-s-gs-136-136-suv-y-4x4-manual-2025-128019,"Opel Mokka
        1.2T S&S GS 136",16790,15290.0,2025,18.886 km,136 CV,Manual,Gasolina,Delantera,208km/h,"4,15m","1,79m","1,54m",1.294kg,44l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-toyota-rav4-rav4-2-5-plug-in-hybrid-4wd-advance-218-suv-y-4x4-automatico-2021-126904,"Toyota Rav4
        2.5 Plug-in hybrid 4WD Advance",35990,34290.0,2021,80.744 km,306 CV,Automático,Híbrido enchufable,4x4,180km/h,"4,60m","1,86m","1,69m",1.910kg,55l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-jaguar-e-pace-e-pace-2-0d-i4-s-163-163-suv-y-4x4-automatico-2021-128080,"Jaguar E-Pace
        2.0D I4 S 163",23990,21790.0,2021,88.302 km,163 CV,Automático,Diésel,Delantera,206km/h,"4,40m","1,98m","1,65m",1.809kg,65l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-citroen-c4-c4-1-2-puretech-feel-s-and-s-130-130-monovolumen-manual-2021-129860,"Citroen C4
        1.2 PureTech Feel S&S 130",15990,14590.0,2021,18.517 km,130 CV,Manual,Gasolina,Delantera,210km/h,"4,36m","1,83m","1,52m",1.322kg,60l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-tesla-model-3-model-3-long-range-dual-motor-awd-441-berlina-automatico-2021-128061,"Tesla Model 3
        Long-Range Dual Motor AWD",25990,23690.0,2022,113.192 km,441 CV,Automático,Eléctrico,4x4,233km/h,"4,69m","1,93m","1,44m",1.844kg,
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-mercedes-clase-glc-glc-300e-4matic-9g-tronic-122-suv-y-4x4-automatico-2022-128569,"Mercedes Clase GLC
        GLC 300e 4Matic 9G-Tronic",37990,34590.0,2022,93.889 km,320 CV,Automático,Híbrido enchufable,4x4,230km/h,"4,66m","1,89m","1,66m",2.030kg,50l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-tesla-model-3-model-3-standard-range-premium-rwd-283-berlina-automatico-2023-125112,"Tesla Model 3
        Standard Range Premium RWD",28490,25890.0,2023,42.608 km,283 CV,Automático,Eléctrico,Trasera,201km/h,"4,72m","1,85m","1,44m",1.765kg,
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-opel-mokka-mokka-1-2t-s-and-s-business-elegance-100-suv-y-4x4-manual-2021-129868,"Opel Mokka
        1.2T S&S Business Elegance",16490,14990.0,2021,16.736 km,100 CV,Manual,Gasolina,Delantera,188km/h,"4,15m","1,79m","1,53m",1.270kg,44l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-citroen-c3-c3-1-2-puretech-s-and-s-feel-pack-83-83-compacto-manual-2021-129853,"Citroen C3
        1.2 PureTech S&S Feel Pack 83",10990,9990.0,2021,10.702 km,83 CV,Manual,Gasolina,Delantera,168km/h,"4,00m","1,75m","1,47m",1.055kg,42l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-lynk-and-co-01-01-1-5t-phev-180-suv-y-4x4-automatico-2023-128631,"Lynk & Co 01
        1.5T PHEV",25490,23190.0,2023,48.395 km,261 CV,Automático,Híbrido enchufable,Delantera,210km/h,"4,54m","1,95m","1,69m",,42l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-alfa-romeo-junior-junior-ibrida-1-2-speciale-100kw-edct6-136-suv-y-4x4-manual-2024-129103,"Alfa Romeo Junior
        Ibrida 1.2 Speciale eDCT6",24990,22690.0,2024,11.092 km,136 CV,Manual,Mild hybrid,Delantera,206km/h,"4,17m","1,78m","1,53m",,44l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-peugeot-5008-suv-5008-hybrid-136-allure-edcs6-136-suv-y-4x4-automatico-2025-129724,"Peugeot 5008 SUV
        Hybrid 136 Allure eDCS6",27990,25490.0,2025,27.130 km,136 CV,Automático,Mild hybrid,Delantera,200km/h,"4,79m","1,90m","1,69m",1.705kg,67l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-opel-grandland-x-grandland-x-1-2t-s-and-s-ultimate-130-130-suv-y-4x4-manual-2019-129919,"Opel Grandland X
        1.2T S&S Ultimate 130",12390,11790.0,2019,97.996 km,130 CV,Manual,Gasolina,Delantera,188km/h,"4,48m","1,86m","1,61m",1.350kg,52l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-ford-puma-puma-1-0-ecoboost-mhev-st-line-x-aut-155-155-suv-y-4x4-automatico-2024-130438,"Ford Puma
        1.0 EcoBoost MHEV ST-Line X Aut. 155",22990,20890.0,2024,12.500 km,155 CV,Automático,Mild hybrid,Delantera,190km/h,"4,19m","1,81m","1,55m",1.334kg,42l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-fiat-fiorino-fiorino-combi-1-3mjt-base-5pl-80-furgoneta-manual-2018-126805,"Fiat Fiorino
        Combi 1.3Mjt Base 5pl.",9590,9090.0,2018,131.812 km,80 CV,Manual,Diésel,Delantera,157km/h,"3,86m","1,72m","1,72m",1.165kg,45l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-volkswagen-t-roc-t-roc-1-6tdi-advance-115-suv-y-4x4-manual-2019-130393,"Volkswagen T-Roc
        1.6TDI Advance",15690,14890.0,2019,147.617 km,115 CV,Manual,Diésel,Delantera,187km/h,"4,23m","1,82m","1,57m",1.395kg,55l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-ds-ds-7-crossback-ds-7-crossback-1-5bluehdi-performance-line-aut-130-suv-y-4x4-automatico-2021-129844,"DS DS 7 Crossback
        1.5BlueHDi Performance Line Aut.",17490,15890.0,2021,119.665 km,130 CV,Automático,Diésel,Delantera,195km/h,"4,57m","1,90m","1,61m",1.428kg,55l
https://www.clicars.com/coches-segunda-mano-ocasion/comprar-hyundai-i10-i10-1-2-mpi-n-line-83-compacto-manual-2024-129777,"Hyundai i10
        1.2 MPI N Line",15790,14390.0,2024,22.073 km,83 CV,Manual,Gasolina,Delantera,158km/h,"3,68m","1,68m","1,48m",932kg,36l
