iter	RMSE
0	664.083008
1	655.331139
2	646.3348526
3	639.4742811
4	631.78611
5	623.1731708
6	615.5900134
7	607.8133842
8	600.9909548
9	594.4252026
10	586.9506535
11	580.5584252
12	573.4615833
13	567.4291603
14	560.8646638
15	555.0877245
16	549.8424667
17	543.9992553
18	537.653151
19	532.0887009
20	526.0512027
21	520.5299955
22	515.7885919
23	510.3648234
24	505.9713257
25	501.2212031
26	496.0613083
27	491.3579812
28	487.383989
29	482.9455324
30	479.4413988
31	475.6836368
32	471.8672258
33	468.6173353
34	466.587592
35	462.6664567
36	459.1469144
37	456.1122566
38	452.4795881
39	449.1595991
40	446.4992862
41	444.3164258
42	441.2092624
43	437.9035202
44	435.7924456
45	433.0794331
46	430.2674117
47	428.3129393
48	425.1629663
49	422.6502538
50	420.816041
51	417.7924766
52	414.773899
53	412.6463657
54	410.5650742
55	407.997811
56	405.4829581
57	402.8523807
58	400.7048388
59	398.456481
60	396.3562566
61	394.2458355
62	392.5890079
63	390.9019003
64	389.7121953
65	388.0122837
66	385.7802649
67	383.4623492
68	381.3248943
69	379.7692017
70	378.0795424
71	375.7499027
72	374.1672037
73	372.6414664
74	370.9932971
75	368.9676255
76	367.6360268
77	366.6873952
78	365.0948461
79	363.9372866
80	362.5177025
81	360.6740944
82	359.2267353
83	358.2242247
84	356.8283514
85	355.4138199
86	354.4175805
87	352.9637827
88	351.6112175
89	350.503509
90	349.1664495
91	348.3669865
92	347.2326917
93	345.4670094
94	344.3928037
95	343.6043784
96	342.6071928
97	341.6176457
98	339.9962003
99	339.054563
100	338.2353754
101	336.8525567
102	335.8946905
103	335.0542466
104	334.3369315
105	333.4468775
106	331.8364651
107	330.5114417
108	329.3330835
109	327.9427832
110	326.9064203
111	326.1797587
112	325.3239446
113	324.0230495
114	323.22561
115	322.2413484
116	320.7943922
117	319.8174609
118	319.352024
119	318.5756498
120	317.3976249
121	316.7052192
122	315.7329055
123	314.6080182
124	313.5133583
125	312.7797944
126	311.8733865
127	311.0920254
128	310.3754468
129	309.566595
130	308.731657
131	308.2085462
132	307.9369582
133	307.4016667
134	306.7269788
135	306.2991916
136	305.5265288
137	304.721382
138	304.1930983
139	304.0605229
140	303.4942937
141	302.7507248
142	302.1908877
